dolly	135	2020-03-10T12:03:38.496
hello	30	2020-03-10T12:05:13.775
kitty	30	2020-03-10T12:05:29.327
hi	30	2020-03-10T12:11:17.769
hi	60	2020-03-10T12:29:53.426
blach	30	2020-03-10T12:33:09.555
yellow	30	2020-03-10T12:34:45.307
snake	150	2020-03-10T12:38:27.474
firstName lastName	30	2020-03-10T12:40:17.372
j	30	2020-03-10T12:42:03.546
fire	30	2020-03-10T12:47:06.550
h	0	2020-03-10T13:30:29.876
d	30	2020-03-10T18:16:36.206
t	0	2020-03-10T18:17:16.300
t	0	2020-03-10T18:18:53.436
g	30	2020-03-10T18:21:22.473
vv	30	2020-03-10T18:23:18.816
ni	30	2020-03-10T18:25:24.372
n	30	2020-03-10T18:26:54.355
rew	30	2020-03-10T18:27:28.686
ys	30	2020-03-10T18:28:08.611
ge	35	2020-03-10T20:39:12.594
hi	100	2020-03-10T20:42:22.479
h	30	2020-03-10T20:48:52.991
